"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"127481","Rheinhausen",,"rheinhausen",,"DE","79365","0","0","48.22929","7.71157","0","-1"
"127482","Riegel",,"riegel",,"DE","79359","0","0","48.15144","7.74935","0","-1"
"127483","Sasbach am Kaiserstuhl",,"sasbach-am-kaiserstuhl",,"DE","79361","0","0","48.13948","7.61473","0","-1"
"127484","Sexau",,"sexau",,"DE","79350","0","0","48.10053","7.90639","0","-1"
"127485","Simonswald",,"simonswald",,"DE","79263","0","0","48.10581","8.06285","0","-1"
"127486","Teningen",,"teningen",,"DE","79331","0","0","48.12825","7.80715","0","-1"
"127487","Vörstetten",,"vorstetten",,"DE","79279","0","0","48.06487","7.84963","0","-1"
"127488","Waldkirch",,"waldkirch",,"DE","79183","0","0","48.09257","7.96281","0","-1"
"127489","Weisweil",,"weisweil",,"DE","79367","0","0","48.19720","7.67752","0","-1"
"127490","Winden im Elztal",,"winden-im-elztal",,"DE","79297","0","0","48.14679","8.02739","0","-1"
"127491","Wyhl am Kaiserstuhl",,"wyhl-am-kaiserstuhl",,"DE","79369","0","0","48.16887","7.64977","0","-1"
"127492","Freiburg im Breisgau",,"freiburg-im-breisgau",,"DE","79098","0","0","47.99470","7.84938","0","-1"
"127493","Aach",,"aach",,"DE","78267","0","0","47.84288","8.85077","0","-1"
"127494","Allensbach",,"allensbach",,"DE","78476","0","0","47.71632","9.07074","0","-1"
"127495","Bodman-Ludwigshafen",,"bodman-ludwigshafen",,"DE","78351","0","0","47.80254","9.02709","0","-1"
"127496","Büsingen am Hochrhein",,"busingen-am-hochrhein",,"DE","78266","0","0","47.69705","8.69048","0","-1"
"127497","Eigeltingen",,"eigeltingen",,"DE","78253","0","0","47.85935","8.89757","0","-1"
"127498","Engen",,"engen",,"DE","78234","0","0","47.85762","8.77577","0","-1"
"127499","Gaienhofen",,"gaienhofen",,"DE","78343","0","0","47.68313","8.98329","0","-1"
"127500","Gailingen am Hochrhein",,"gailingen-am-hochrhein",,"DE","78262","0","0","47.69674","8.75477","0","-1"
"127501","Gottmadingen",,"gottmadingen",,"DE","78244","0","0","47.73503","8.77703","0","-1"
