id,country_code,postCode,point,note,zone1_id,zone2_id,names,slugs,languages,mains
37721,AT,7132,POINT(16.92396 47.83535),0,NULL,NULL,Frauenkirchen,frauenkirchen,at,0
37722,AT,2474,POINT(16.98350 48.01503),0,NULL,NULL,Gattendorf,gattendorf-at-2474,at,0
37723,AT,7122,POINT(16.91078 47.89696),0,NULL,NULL,Gols,gols,at,0
37724,AT,7131,POINT(16.97388 47.87146),0,NULL,NULL,Halbturn,halbturn,at,0
37725,AT,7142,POINT(16.80032 47.76188),0,NULL,NULL,Illmitz,illmitz,at,0
37726,AT,7093,POINT(16.79706 47.96087),0,NULL,NULL,Jois,jois,at,0
37727,AT,2421,POINT(17.06595 48.09133),0,NULL,NULL,Kittsee,kittsee,at,0
37728,AT,7123,POINT(16.94163 47.88448),0,NULL,NULL,Mönchhof,moenchhof,at,0
37729,AT,2475,POINT(16.92989 48.01518),0,NULL,NULL,Neudorf,neudorf-at-2475,at,0
37730,AT,7100,POINT(16.84316 47.94863),0,NULL,NULL,Neusiedl am See,neusiedl-am-see,at,0
37731,AT,2425,POINT(17.06885 47.94043),0,NULL,NULL,Nickelsdorf,nickelsdorf,at,0
37732,AT,2422,POINT(17.03357 48.04848),0,NULL,NULL,Pama,pama,at,0
37733,AT,7152,POINT(16.90601 47.69978),0,NULL,NULL,Pamhagen,pamhagen,at,0
37734,AT,7111,POINT(16.86052 48.00011),0,NULL,NULL,Parndorf,parndorf,at,0
37735,AT,7141,POINT(16.83709 47.85437),0,NULL,NULL,Podersdorf am See,podersdorf-am-see,at,0
37736,AT,2473,POINT(16.94811 48.04487),0,NULL,NULL,Potzneusiedl,potzneusiedl,at,0
37737,AT,7161,POINT(16.94183 47.78406),0,NULL,NULL,St. Andrä am Zicksee,st-andrae-am-zicksee,at,0
37738,AT,7162,POINT(16.98475 47.76512),0,NULL,NULL,Tadten,tadten,at,0
37739,AT,7151,POINT(16.93586 47.72538),0,NULL,NULL,Wallern im Burgenland,wallern-im-burgenland,at,0
37740,AT,7121,POINT(16.86765 47.92666),0,NULL,NULL,Weiden am See,weiden-am-see,at,0
37741,AT,7092,POINT(16.75256 47.95225),0,NULL,NULL,Winden am See,winden-am-see,at,0
37742,AT,2424,POINT(17.00299 47.98315),0,NULL,NULL,Zurndorf,zurndorf,at,0
37743,AT,7301,POINT(16.62484 47.60056),0,NULL,NULL,Deutschkreutz,deutschkreutz,at,0
37744,AT,7372,POINT(16.40086 47.51151),0,NULL,NULL,Draßmarkt,draszmarkt,at,0
37745,AT,7304,POINT(16.55184 47.54212),0,NULL,NULL,Großwarasdorf,groszwarasdorf,at,0
37746,AT,7312,POINT(16.54756 47.58866),0,NULL,NULL,Horitschon,horitschon,at,0
37747,AT,7342,POINT(16.39634 47.53403),0,NULL,NULL,Kaisersdorf,kaisersdorf,at,0
37748,AT,7332,POINT(16.39233 47.59508),0,NULL,NULL,Kobersdorf,kobersdorf,at,0
37749,AT,7322,POINT(16.46534 47.58886),0,NULL,NULL,Lackenbach,lackenbach,at,0
37750,AT,7321,POINT(16.50414 47.58997),0,NULL,NULL,Lackendorf,lackendorf,at,0
37751,AT,7442,POINT(16.41761 47.40683),0,NULL,NULL,Lockenhaus,lockenhaus,at,0
37752,AT,7361,POINT(16.63417 47.46347),0,NULL,NULL,Lutzmannsburg,lutzmannsburg,at,0
37753,AT,7444,POINT(16.52899 47.42950),0,NULL,NULL,Mannersdorf an der Rabnitz,mannersdorf-an-der-rabnitz,at,0
37754,AT,7341,POINT(16.42746 47.56431),0,NULL,NULL,Markt St. Martin,markt-st-martin,at,0
37755,AT,7311,POINT(16.54846 47.59778),0,NULL,NULL,Neckenmarkt,neckenmarkt,at,0
37756,AT,7343,POINT(16.44509 47.54607),0,NULL,NULL,Neutal,neutal,at,0
37757,AT,7302,POINT(16.66025 47.53611),0,NULL,NULL,Nikitsch,nikitsch,at,0
37758,AT,7451,POINT(16.50613 47.44660),0,NULL,NULL,Oberloisdorf,oberloisdorf,at,0
37759,AT,7350,POINT(16.50461 47.50313),0,NULL,NULL,Oberpullendorf,oberpullendorf,at,0
37760,AT,7441,POINT(16.35026 47.44007),0,NULL,NULL,Pilgersdorf,pilgersdorf,at,0
37761,AT,7443,POINT(16.49863 47.41057),0,NULL,NULL,Rattersdorf-Liebing,rattersdorf-liebing,at,0
37762,AT,7323,POINT(16.49687 47.60986),0,NULL,NULL,Ritzing,ritzing-at-7323,at,0
37763,AT,7453,POINT(16.47424 47.48906),0,NULL,NULL,Steinberg-Dörfl,steinberg-doerfl,at,0
37764,AT,7344,POINT(16.47662 47.52926),0,NULL,NULL,Stoob,stoob,at,0
37765,AT,7452,POINT(16.54165 47.47319),0,NULL,NULL,Unterpullendorf,unterpullendorf,at,0
37766,AT,7371,POINT(16.37661 47.45186),0,NULL,NULL,Unterrabnitz,unterrabnitz,at,0
37767,AT,7331,POINT(16.42680 47.57894),0,NULL,NULL,Weppersdorf,weppersdorf,at,0
37768,AT,7431,POINT(16.23003 47.33265),0,NULL,NULL,Bad Tatzmannsdorf,bad-tatzmannsdorf,at,0
37769,AT,7434,POINT(16.25577 47.40571),0,NULL,NULL,Bernstein,bernstein,at,0
37770,AT,7474,POINT(16.44866 47.16406),0,NULL,NULL,Deutsch Schützen,deutsch-schuetzen,at,0
37771,AT,7503,POINT(16.31881 47.23854),0,NULL,NULL,Großpetersdorf,groszpetersdorf,at,0
37772,AT,7473,POINT(16.38779 47.22907),0,NULL,NULL,Hannersdorf,hannersdorf,at,0
37773,AT,7531,POINT(16.15092 47.24904),0,NULL,NULL,Kemeten,kemeten,at,0
37774,AT,7512,POINT(16.35823 47.17528),0,NULL,NULL,Kohfidisch,kohfidisch,at,0
37775,AT,7532,POINT(16.16092 47.20685),0,NULL,NULL,Litzelsdorf,litzelsdorf,at,0
37776,AT,7433,POINT(16.23166 47.36710),0,NULL,NULL,Mariasdorf,mariasdorf,at,0
37777,AT,7411,POINT(16.08045 47.29167),0,NULL,NULL,Markt Allhau,markt-allhau,at,0
37778,AT,7464,POINT(16.39563 47.29509),0,NULL,NULL,Markt Neuhodis,markt-neuhodis,at,0
37779,AT,7511,POINT(16.31404 47.19406),0,NULL,NULL,Mischendorf,mischendorf,at,0
37780,AT,7432,POINT(16.20741 47.35067),0,NULL,NULL,Oberschützen,oberschuetzen,at,0
37781,AT,7400,POINT(16.21086 47.28880),0,NULL,NULL,Oberwart,oberwart,at,0
37782,AT,7423,POINT(16.12108 47.37160),0,NULL,NULL,Pinkafeld,pinkafeld,at,0
37783,AT,7471,POINT(16.44042 47.30565),0,NULL,NULL,Rechnitz,rechnitz,at,0
37784,AT,7422,POINT(16.13648 47.34522),0,NULL,NULL,Riedlingsdorf,riedlingsdorf,at,0
37785,AT,7501,POINT(16.24467 47.25239),0,NULL,NULL,Rotenturm an der Pinka,rotenturm-an-der-pinka,at,0
37786,AT,7472,POINT(16.43386 47.26323),0,NULL,NULL,Schachendorf,schachendorf,at,0
37787,AT,7461,POINT(16.27919 47.32397),0,NULL,NULL,Stadtschlaining,stadtschlaining,at,0
