"id","country_code","postCode","point","note","zone1_id","zone2_id","names","slugs","languages","mains"
"91924","CH","5300","POINT(8.24008 47.49511)","0",NULL,NULL,"Vogelsang bei Turgi","vogelsang-bei-turgi-ch-5300","de","0"
"91925","CH","5300","POINT(8.26142 47.48851)","0",NULL,NULL,"Wil bei Turgi","wil-bei-turgi-ch-5300","de","0"
"91926","CH","5417","POINT(8.25575 47.50512)","0",NULL,NULL,"Obersiggingen","obersiggingen-ch-5417","de","0"
"91927","CH","5301","POINT(8.24292 47.52062)","0",NULL,NULL,"Siggenthal Station","siggenthal-station-ch-5301","de","0"
"91928","CH","5417","POINT(8.25342 47.50336)","0",NULL,NULL,"Untersiggenthal","untersiggenthal-ch-5417","de","0"
"91929","CH","5417","POINT(8.25714 47.49995)","0",NULL,NULL,"Untersiggingen","untersiggingen-ch-5417","de","0"
"91930","CH","5430","POINT(8.31549 47.46092)","0",NULL,NULL,"Wettingen","wettingen-ch-5430","de","0"
"91931","CH","5512","POINT(8.25890 47.41665)","0",NULL,NULL,"Büblikon","bueblikon-ch-5512","de","0"
"91932","CH","5512","POINT(8.25926 47.41153)","0",NULL,NULL,"Wohlenschwil","wohlenschwil-ch-5512","de","0"
"91933","CH","5303","POINT(8.25795 47.53093)","0",NULL,NULL,"Würenlingen","wuerenlingen-ch-5303","de","0"
"91934","CH","5436","POINT(8.37663 47.44883)","0",NULL,NULL,"Oetlikon","oetlikon-ch-5436","de","0"
"91935","CH","5436","POINT(8.36293 47.44193)","0",NULL,NULL,"Würenlos","wuerenlos-ch-5436","de","0"
"91936","CH","8905","POINT(8.41966 47.31911)","0",NULL,NULL,"Arni","arni-ch-8905","de","0"
"91937","CH","8905","POINT(8.41966 47.31911)","0",NULL,NULL,"Arni-Islisberg","arni-islisberg-ch-8905","de","0"
"91938","CH","8965","POINT(8.37327 47.34990)","0",NULL,NULL,"Berikon","berikon-ch-8965","de","0"
"91939","CH","5620","POINT(8.34426 47.35090)","0",NULL,NULL,"Bremgarten","bremgarten-ch-5620","de","0"
"91940","CH","5619","POINT(8.26920 47.32618)","0",NULL,NULL,"Büttikon","buettikon-ch-5619","de","0"
"91941","CH","5605","POINT(8.23987 47.38342)","0",NULL,NULL,"Dottikon","dottikon-ch-5605","de","0"
"91942","CH","5445","POINT(8.33881 47.36929)","0",NULL,NULL,"Eggenwil","eggenwil-ch-5445","de","0"
"91943","CH","5525","POINT(8.30418 47.37394)","0",NULL,NULL,"Fischbach-Göslikon","fischbach-goeslikon-ch-5525","de","0"
"91944","CH","5607","POINT(8.25266 47.38899)","0",NULL,NULL,"Hägglingen","haegglingen-ch-5607","de","0"
"91945","CH","5626","POINT(8.34400 47.33141)","0",NULL,NULL,"Hermetschwil-Staffeln","hermetschwil-staffeln-ch-5626","de","0"
"91946","CH","5613","POINT(8.24655 47.33324)","0",NULL,NULL,"Hilfikon","hilfikon-ch-5613","de","0"
"91947","CH","8905","POINT(8.43946 47.32317)","0",NULL,NULL,"Islisberg","islisberg-ch-8905","de","0"
"91948","CH","8916","POINT(8.39535 47.29627)","0",NULL,NULL,"Jonen","jonen-ch-8916","de","0"
"91949","CH","5524","POINT(8.30241 47.39262)","0",NULL,NULL,"Gnadenthal","gnadenthal-ch-5524","de","0"
"91950","CH","5524","POINT(8.29033 47.38819)","0",NULL,NULL,"Nesselnbach","nesselnbach-ch-5524","de","0"
"91951","CH","5524","POINT(8.29630 47.37642)","0",NULL,NULL,"Niederwil","niederwil-ch-5524","de","0"
"91952","CH","8917","POINT(8.39015 47.31133)","0",NULL,NULL,"Lunkhofen","lunkhofen-ch-8917","de","0"
"91953","CH","8917","POINT(8.39015 47.31133)","0",NULL,NULL,"Oberlunkhofen","oberlunkhofen-ch-8917","de","0"
"91954","CH","8966","POINT(8.39424 47.34128)","0",NULL,NULL,"Lieli","lieli-ch-8966","de","0"
"91955","CH","8966","POINT(8.38862 47.33565)","0",NULL,NULL,"Oberwil","oberwil-ch-8966","de","0"
"91956","CH","8966","POINT(8.39418 47.34130)","0",NULL,NULL,"Oberwil-Lieli","oberwil-lieli-ch-8966","de","0"
"91957","CH","8964","POINT(8.38848 47.36330)","0",NULL,NULL,"Friedlisberg","friedlisberg-ch-8964","de","0"
"91958","CH","8964","POINT(8.38736 47.36540)","0",NULL,NULL,"Rudolfstetten","rudolfstetten-ch-8964","de","0"
"91959","CH","5614","POINT(8.24706 47.30925)","0",NULL,NULL,"Sarmenstorf","sarmenstorf-ch-5614","de","0"
"91960","CH","5522","POINT(8.27744 47.40177)","0",NULL,NULL,"Tägerig","taegerig-ch-5522","de","0"
"91961","CH","5619","POINT(8.27442 47.31628)","0",NULL,NULL,"Uezwil","uezwil-ch-5619","de","0"
"91962","CH","8918","POINT(8.38124 47.32139)","0",NULL,NULL,"Lunkhofen","lunkhofen-ch-8918","de","0"
"91963","CH","8918","POINT(8.38124 47.32139)","0",NULL,NULL,"Unterlunkhofen","unterlunkhofen-ch-8918","de","0"
"91964","CH","5612","POINT(8.24457 47.34758)","0",NULL,NULL,"Villmergen","villmergen-ch-5612","de","0"
"91965","CH","8967","POINT(8.36338 47.36789)","0",NULL,NULL,"Widen","widen-ch-8967","de","0"
"91966","CH","5611","POINT(8.26221 47.36504)","0",NULL,NULL,"Anglikon","anglikon-ch-5611","de","0"
"91967","CH","5610","POINT(8.27392 47.35135)","0",NULL,NULL,"Wohlen","wohlen-ch-5610","de","0"
"91968","CH","5621","POINT(8.35819 47.34773)","0",NULL,NULL,"Zufikon","zufikon-ch-5621","de","0"
"91969","CH","5105","POINT(8.15834 47.41923)","0",NULL,NULL,"Au bei Wildegg","au-bei-wildegg-ch-5105","de","0"
"91970","CH","5105","POINT(8.13461 47.41668)","0",NULL,NULL,"Auenstein","auenstein-ch-5105","de","0"
"91971","CH","5242","POINT(8.20185 47.43696)","0",NULL,NULL,"Birr","birr-ch-5242","de","0"
"91972","CH","5244","POINT(8.24568 47.43296)","0",NULL,NULL,"Birrhard","birrhard-ch-5244","de","0"
"91973","CH","5076","POINT(8.08403 47.49481)","0",NULL,NULL,"Bözen","boezen-ch-5076","de","0"
"91974","CH","5200","POINT(8.20726 47.48381)","0",NULL,NULL,"Brugg","brugg-ch-5200","de","0"
"91975","CH","5200","POINT(8.21277 47.48048)","0",NULL,NULL,"Königsfelden","koenigsfelden-ch-5200","de","0"
"91976","CH","5078","POINT(8.10426 47.48862)","0",NULL,NULL,"Effingen","effingen-ch-5078","de","0"
"91977","CH","5077","POINT(8.09909 47.50700)","0",NULL,NULL,"Elfingen","elfingen-ch-5077","de","0"
"91978","CH","5224","POINT(8.12453 47.47965)","0",NULL,NULL,"Gallenkirch","gallenkirch-ch-5224","de","0"
"91979","CH","5245","POINT(8.18608 47.46201)","0",NULL,NULL,"Habsburg","habsburg-ch-5245","de","0"
"91980","CH","5212","POINT(8.34398 47.39802)","0",NULL,NULL,"Hausen","hausen-ch-5212","de","0"
"91981","CH","5277","POINT(8.16141 47.54756)","0",NULL,NULL,"Hottwil","hottwil-ch-5277","de","0"
"91982","CH","5224","POINT(8.12732 47.46990)","0",NULL,NULL,"Linn","linn-ch-5224","de","0"
"91983","CH","5242","POINT(8.21001 47.44363)","0",NULL,NULL,"Birr-Lupfig","birr-lupfig-ch-5242","de","0"
"91984","CH","5242","POINT(8.22373 47.44646)","0",NULL,NULL,"Birrfeld","birrfeld-ch-5242","de","0"
"91985","CH","5242","POINT(8.19894 47.43938)","0",NULL,NULL,"Lupfig","lupfig-ch-5242","de","0"
"91986","CH","5318","POINT(8.18631 47.54716)","0",NULL,NULL,"Mandach","mandach-ch-5318","de","0"
"91987","CH","5237","POINT(8.14258 47.51837)","0",NULL,NULL,"Mönthal","moenthal-ch-5237","de","0"
"91988","CH","5237","POINT(8.15113 47.50737)","0",NULL,NULL,"Ueberthal","ueberthal-ch-5237","de","0"
